rank,name,surface_km2
571,ALA,430.2947061409222
572,ALA,429.40331810689753
573,ALA,428.9881407324959
574,ALA,428.8144953848877
575,ALA,427.0474545038418
576,ALA,426.61691694026047
577,ALA,426.40461796048544
578,ALA,425.3852571709153
579,ALA,424.892620858104
580,ALA,423.71953055108133
581,ALA,423.4110268930137
582,ALA,422.3432646908632
583,ALA,420.519129893093
584,ALA,420.36986462708455
585,ALA,418.7817710936586
586,ALA,418.62777629439927
587,ALA,418.4030047855949
588,ALA,418.35024847265777
589,ALA,418.0190262360545
590,ALA,418.0190262360545
591,ALA,417.3392134563266
592,ALA,416.0361003198151
593,ALA,415.98403447411135
594,ALA,415.18218803703314
595,ALA,412.06871675184084
596,ALA,411.9914817758511
597,ALA,411.8495477881205
598,ALA,411.09049965532193
599,ALA,410.5077199306086
600,ALA,410.3442715432025
601,ALA,408.1027698572721
602,ALA,408.05649946741966
603,ALA,407.9457432218682
604,ALA,406.7414686920414
605,ALA,405.8051139804918
606,ALA,404.7770314958986
607,ALA,402.037243335988
608,ALA,400.26300089401155
609,ALA,399.95519460069283
610,ALA,399.6379727284559
611,ALA,399.1627893206749
612,ALA,398.68412838420085
613,ALA,398.58551515487227
614,ALA,398.2358016531646
615,ALA,397.5394924179466
616,ALA,394.3645862185267
617,ALA,394.1499255358668
618,ALA,394.1191475503633
619,ALA,393.308852380813
620,ALA,391.3589934352678
621,ALA,389.1421921239289
622,ALA,387.76007721843786
623,ALA,387.5832497748983
624,ALA,386.71715161670585
625,ALA,385.9875725828476
626,ALA,385.234740478003
627,ALA,385.0503504100155
628,ALA,385.0493811907105
629,ALA,384.3532832016359
630,ALA,380.4298683296021
631,ALA,379.5691372243743
632,ALA,377.1775699042198
633,ALA,377.169405256382
634,ALA,376.75366323521797
635,ALA,372.2062204380369
636,ALA,371.65780370567666
637,ALA,371.42362061056787
638,ALA,370.83678739777
639,ALA,369.84525006742086
640,ALA,369.56719613762476
641,ALA,367.16768252090446
642,ALA,366.614301915666
643,ALA,366.60416332166295
644,ALA,363.84079897831367
645,ALA,363.34204950174393
646,ALA,362.85415748643135
647,ALA,362.8014523180712
648,ALA,360.9176823823206
649,ALA,359.9566145285997
650,ALA,359.58400032114736
651,ALA,359.42030608451273
652,ALA,359.21727070105277
653,ALA,356.17183997636323
654,ALA,355.02131288258363
655,ALA,354.05661368313787
656,ALA,353.7756404139901
657,ALA,353.5005913169136
658,ALA,353.1849215969333
659,ALA,352.33551670429904
660,ALA,351.54350188070765
661,ALA,351.4774671218158
662,ALA,350.97574526171866
663,ALA,349.6401485661263
664,ALA,348.62307630463584
665,ALA,348.1879908715782
666,ALA,347.37672932134626
667,ALA,346.6194290945725
668,ALA,345.16689506501916
669,ALA,345.1226090783768
670,ALA,342.8367626718058
671,ALA,342.3039862110815
672,ALA,341.7121324663393
673,ALA,341.57293291920007
674,ALA,340.6716750304852
675,ALA,339.3637941904965
676,ALA,339.28300426836967
677,ALA,338.64809924516106
678,ALA,337.2254194448372
679,ALA,336.89875248687315
680,ALA,335.94377956015967
681,ALA,334.9971336254118
682,ALA,334.27153914218394
683,ALA,333.1373024641278
684,ALA,332.9709205007122
685,ALA,331.8344886950836
686,ALA,330.66479855924615
687,ALA,330.5191326127096
688,ALA,330.0223463213539
689,ALA,329.4638576089029
690,ALA,328.10150499080464
691,ALA,327.53937355804925
692,ALA,326.4872029789314
693,ALA,326.1702458598796
694,ALA,324.26662267061283
695,ALA,323.3640133347554
696,ALA,320.94190124833835
697,ALA,320.84330264353974
698,ALA,320.6395192256775
699,ALA,320.3297851573352
700,ALA,319.50206341179296
701,ALA,319.39350232099264
702,ALA,314.5899970487704
703,ALA,314.47593230167564
704,ALA,312.90057955787154
705,ALA,312.40220765393445
706,ALA,312.0623639821602
707,ALA,311.84644330207436
708,ALA,310.61796376307547
709,ALA,310.61794742266306
710,ALA,309.7087251776102
711,ALA,309.42820225093345
712,ALA,309.23545114695736
713,ALA,308.5894575425086
714,ALA,308.50693315289857
715,ALA,308.31442571566424
716,ALA,308.0351549323254
717,ALA,307.78573782135203
718,ALA,307.58882996385483
719,ALA,306.50356047877204
720,ALA,305.8279524505344
721,ALA,305.49623288458685
722,ALA,305.3499404452107
723,ALA,304.76168867336366
724,ALA,304.5074037722108
725,ALA,303.3719553900032
726,ALA,303.0617470196302
727,ALA,302.36546740715863
728,ALA,302.17928653924804
729,ALA,300.4916404463043
730,ALA,299.87553358752064
731,ALA,298.1596252855841
732,ALA,297.6135547749289
733,ALA,297.5444581461009
734,ALA,296.84276089214086
